visitor_stadium,visitor_location,visitor_team,visitor_stadium_type,visitor_stadium_weather_type,visitor_stadium_surface,visitor_latitude,visitor_longitude,visitor_elevation,,,,
Allegiant Stadium,"Paradise, NV",Las Vegas Raiders,indoor,dome,Grass,36.0909,115.1833,620,,,,
Arrowhead Stadium,"Kansas City, MO",Kansas City Chiefs,outdoor,cold,Grass,39.0692,-94.4871,264.9,,,,
AT&T Stadium,"Arlington, TX",Dallas Cowboys,retractable,dome,FieldTurf,32.7572,-97.0736,163.4,,,,
Empower Field at Mile High,"Denver, CO",Denver Broncos,outdoor,cold,Grass,39.7633,-104.8694,1611.2,,,,
EverBank Field,"Jacksonville, FL",Jacksonville Jaguars,outdoor,warm,Grass,30.23333,-81.66667,6.1,,,,
FirstEnergy Stadium,"Cleveland, OH",Cleveland Browns,outdoor,cold,Grass,41.4057,-81.852,238,,,,
Ford Field,"Detroit, MI",Detroit Lions,indoor,dome,FieldTurf,42.34,83.0456,14,,,,
Gillette Stadium,"Foxborough, MA",New England Patriots,outdoor,cold,FieldTurf,42.0479,-71.005,24.4,,,,
Hard Rock Stadium,"Miami Gardens, FL",Miami Dolphins,outdoor,warm,Grass,25.7905,-80.3163,8.8,,,,
Heinz Field,"Pittsburgh, PA",Pittsburgh Steelers,outdoor,cold,Grass,40.4846,-80.2144,366.7,,,,
Lambeau Field,"Green Bay, WI",Green Bay Packers,outdoor,cold,Grass,44.4794,-88.1366,209.4,,,,
Lincoln Financial Field,"Philadelphia, PA",Philadelphia Eagles,outdoor,cold,Grass,39.87327,-75.22678,3,,,,
Lucas Oil Stadium,"Indianapolis, IN",Indianapolis Colts,retractable,dome,FieldTurf,39.8721,-86.1201,227.1,,,,
M&T Bank Stadium,"Baltimore, MD",Baltimore Ravens,outdoor,moderate,FieldTurf,39.1733,-76.684,47.5,,,,
Mercedes-Benz Stadium,"Atlanta, GA",Atlanta Falcons,indoor,dome,FieldTurf,33.7553,84.4006,307,,,,
Mercedes-Benz Superdome,"New Orleans, LA",New Orleans Saints,indoor,dome,FieldTurf,29.9511,90.0812,1,,,,
MetLife Stadium,"East Rutherford, NJ",New York Jets,outdoor,cold,FieldTurf,40.6825,-74.1694,2.1,,,,
NRG Stadium,"Houston, TX",Houston Texans,retractable,dome,Grass,29.63806,-95.28194,13.4,,,,
Paul Brown Stadium,"Cincinnati, OH",Cincinnati Bengals,outdoor,cold,FieldTurf,39.1,-84.51667,193.9,,,,
Ralph Wilson Stadium,"Orchard Park, NY",Buffalo Bills,outdoor,cold,FieldTurf,42.889,-78.8901,178,,,,
SoFi Stadium,"Inglewood, CA",Los Angeles Chargers,outdoor,warm,Hellas Matrix Turf,33.9535,118.334,80,,,,
Soldier Field,"Chicago, IL",Chicago Bears,outdoor,cold,Grass,41.8558,-87.6094,177.7,,,,
State Farm Stadium,"Glendale, AZ",Arizona Cardinals,retractable,dome,Grass,33.4552,-111.9316,375.2,,,,
U.S. Bank Stadium,"Minneapolis, MN",Minnesota Vikings,indoor,dome,FieldTurf,44.9736,93.2575,255,,,,
Levi's Stadium,"Santa Clara, CA",San Francisco 49ers,outdoor,moderate,Grass,37.6197,-122.3647,2.4,,,,
FedExField,"Landover, MD",Washington Redskins,outdoor,moderate,Grass,38.9133,-76.97,15.2,,,,
SoFi Stadium,"Inglewood, CA",Los Angeles Rams,outdoor,warm,Hellas Matrix Turf,33.9535,118.334,80,,,,
Memorial Stadium (Baltimore),"Baltimore, MD",Baltimore Colts,outdoor,moderate,,39.1733,-76.684,47.5,,,,
MetLife Stadium,"East Rutherford, NJ",New York Giants,outdoor,cold,FieldTurf,40.6825,-74.1694,2.1,,,,
Lumen Field,"Seattle, WA",Seattle Seahawks,,,,47.5952,122.3316,85,,,,
Raymond James Stadium,"Tampa, FL",Tampa Bay Buccaneers,outdoor,warm,Grass,27.96194,-82.5403,5.8,,,,
Bank of America Stadium,"Charlotte, NC",Carolina Panthers,outdoor,moderate,Grass,35.2236,-80.9552,221.9,,,,
Nissan Stadium,"Nashville, TN",Tennessee Titans,outdoor,moderate,Grass,36.11889,-86.68917,182.9,,,,
,,,,,,,,,,,,